X,Y,Z,Name,description,COL5A0EF95909EAA724,COL5A0EF95909BD88AB
21.294356,38.566351,0,ΑΓΓΕΛΟΚΑΣΤΡΟ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.022496,37.751504,0,ΑΓΓΕΛΟΚΑΣΤΡΟ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.834214,40.495727,0,ΑΓΓΕΛΟΧΩΡΙΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
20.355717,39.311011,0,ΑΓΙΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.241404,40.497521,0,ΑΓΙΑ ΒΑΡΒΑΡΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
20.384156,38.249499,0,ΑΓΙΑ ΘΕΚΛΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
20.89469,40.145647,0,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.962545,35.229938,0,ΑΓΙΑ ΡΟΥΜΕΛΗ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.422377,40.548859,0,ΑΓΙΑ ΤΡΙΑΔΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.757518,39.719155,0,ΑΓΙΑΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
26.37112,39.080086,0,ΑΓΙΑΣΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.543591,40.500736,0,ΑΓΙΝΙΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.869986,39.717834,0,ΑΓΙΟΚΑΜΠΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.878629,37.750371,0,ΑΓΙΟΝΟΡΙ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.053436,38.907654,0,ΑΓΙΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.74683,37.961524,0,ΑΓΙΟΣ ΑΡΤΕΜΙΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
